city,country_iso3,year,pop_thousands,pop_source
Abu Dhabi,ARE,2000,273.702,UN WUP 2025
Abu Dhabi,ARE,2001,295.447,UN WUP 2025
Abu Dhabi,ARE,2002,317.193,UN WUP 2025
Abu Dhabi,ARE,2003,338.938,UN WUP 2025
Abu Dhabi,ARE,2004,360.684,UN WUP 2025
Abu Dhabi,ARE,2005,382.429,UN WUP 2025
Abu Dhabi,ARE,2006,496.251,UN WUP 2025
Abu Dhabi,ARE,2007,610.073,UN WUP 2025
Abu Dhabi,ARE,2008,723.895,UN WUP 2025
Abu Dhabi,ARE,2009,837.717,UN WUP 2025
Abu Dhabi,ARE,2010,951.539,UN WUP 2025
Abu Dhabi,ARE,2011,946.107,UN WUP 2025
Abu Dhabi,ARE,2012,940.675,UN WUP 2025
Abu Dhabi,ARE,2013,935.244,UN WUP 2025
Abu Dhabi,ARE,2014,929.812,UN WUP 2025
Abu Dhabi,ARE,2015,924.38,UN WUP 2025
Abu Dhabi,ARE,2016,895.429,UN WUP 2025
Abu Dhabi,ARE,2017,866.477,UN WUP 2025
Abu Dhabi,ARE,2018,837.526,UN WUP 2025
Abu Dhabi,ARE,2019,808.574,UN WUP 2025
Abu Dhabi,ARE,2020,779.623,UN WUP 2025
Abu Dhabi,ARE,2021,826.99,UN WUP 2025
Abu Dhabi,ARE,2022,874.358,UN WUP 2025
Abu Dhabi,ARE,2023,921.725,UN WUP 2025
Ajman,ARE,2000,206.997,citypopulation.de
Ajman,ARE,2001,206.997,citypopulation.de
Ajman,ARE,2002,206.997,citypopulation.de
Ajman,ARE,2003,206.997,citypopulation.de
Ajman,ARE,2004,206.997,citypopulation.de
Ajman,ARE,2005,206.997,citypopulation.de
Ajman,ARE,2006,232.797,citypopulation.de
Ajman,ARE,2007,258.598,citypopulation.de
Ajman,ARE,2008,284.398,citypopulation.de
Ajman,ARE,2009,310.198,citypopulation.de
Ajman,ARE,2010,335.999,citypopulation.de
Ajman,ARE,2011,361.799,citypopulation.de
Ajman,ARE,2012,387.599,citypopulation.de
Ajman,ARE,2013,413.399,citypopulation.de
Ajman,ARE,2014,439.2,citypopulation.de
Ajman,ARE,2015,465.0,citypopulation.de
Ajman,ARE,2016,481.026,citypopulation.de
Ajman,ARE,2017,497.052,citypopulation.de
Ajman,ARE,2018,513.077,citypopulation.de
Ajman,ARE,2019,529.103,citypopulation.de
Ajman,ARE,2020,545.129,citypopulation.de
Ajman,ARE,2021,554.715,citypopulation.de
Ajman,ARE,2022,564.3,citypopulation.de
Ajman,ARE,2023,573.886,citypopulation.de
Al Ain,ARE,2000,239.47,UN WUP 2025
Al Ain,ARE,2001,249.556,UN WUP 2025
Al Ain,ARE,2002,259.643,UN WUP 2025
Al Ain,ARE,2003,269.729,UN WUP 2025
Al Ain,ARE,2004,279.816,UN WUP 2025
Al Ain,ARE,2005,289.902,UN WUP 2025
Al Ain,ARE,2006,395.489,UN WUP 2025
Al Ain,ARE,2007,501.077,UN WUP 2025
Al Ain,ARE,2008,606.664,UN WUP 2025
Al Ain,ARE,2009,712.252,UN WUP 2025
Al Ain,ARE,2010,817.839,UN WUP 2025
Al Ain,ARE,2011,816.234,UN WUP 2025
Al Ain,ARE,2012,814.628,UN WUP 2025
Al Ain,ARE,2013,813.023,UN WUP 2025
Al Ain,ARE,2014,811.417,UN WUP 2025
Al Ain,ARE,2015,809.812,UN WUP 2025
Al Ain,ARE,2016,787.584,UN WUP 2025
Al Ain,ARE,2017,765.356,UN WUP 2025
Al Ain,ARE,2018,743.127,UN WUP 2025
Al Ain,ARE,2019,720.899,UN WUP 2025
Al Ain,ARE,2020,698.671,UN WUP 2025
Al Ain,ARE,2021,733.705,UN WUP 2025
Al Ain,ARE,2022,768.738,UN WUP 2025
Al Ain,ARE,2023,803.772,UN WUP 2025
Al Mubarraz,SAU,2000,383.174,UN WUP 2025
Al Mubarraz,SAU,2001,402.747,UN WUP 2025
Al Mubarraz,SAU,2002,422.32,UN WUP 2025
Al Mubarraz,SAU,2003,441.892,UN WUP 2025
Al Mubarraz,SAU,2004,461.465,UN WUP 2025
Al Mubarraz,SAU,2005,481.038,UN WUP 2025
Al Mubarraz,SAU,2006,505.532,UN WUP 2025
Al Mubarraz,SAU,2007,530.027,UN WUP 2025
Al Mubarraz,SAU,2008,554.521,UN WUP 2025
Al Mubarraz,SAU,2009,579.016,UN WUP 2025
Al Mubarraz,SAU,2010,603.51,UN WUP 2025
Al Mubarraz,SAU,2011,633.361,UN WUP 2025
Al Mubarraz,SAU,2012,663.212,UN WUP 2025
Al Mubarraz,SAU,2013,693.062,UN WUP 2025
Al Mubarraz,SAU,2014,722.913,UN WUP 2025
Al Mubarraz,SAU,2015,752.764,UN WUP 2025
Al Mubarraz,SAU,2016,717.944,UN WUP 2025
Al Mubarraz,SAU,2017,683.124,UN WUP 2025
Al Mubarraz,SAU,2018,648.305,UN WUP 2025
Al Mubarraz,SAU,2019,613.485,UN WUP 2025
