Country,Variable,N,Mean,SD,Min,p25,Median,p75,Max
Kuwait,NDVI,24,0.08,0.01,0.07,0.07,0.08,0.08,0.09
Kuwait,Elec. (kWh/capita),24,16300.63,826.11,14716.77,15686.95,16216.38,16906.04,17971.16
Kuwait,Industry VA (% GDP),14,62.26,8.33,48.46,56.38,60.21,69.43,74.81
Kuwait,FDI (% GDP),24,0.38,0.64,-0.5,0.01,0.18,0.51,2.12
Kuwait,NTL (calibrated),24,30.09,11.53,17.76,19.52,24.47,41.94,48.0
Qatar,NDVI,24,0.07,0.01,0.06,0.06,0.07,0.07,0.09
Qatar,Elec. (kWh/capita),24,16451.71,1873.22,13180.07,14993.44,16475.1,17548.02,19963.24
Qatar,Industry VA (% GDP),13,62.34,7.52,52.33,57.16,59.98,69.76,73.47
Qatar,FDI (% GDP),24,1.78,2.66,-1.69,-0.03,0.64,3.4,8.31
Qatar,NTL (calibrated),24,48.12,24.18,23.36,25.54,38.81,69.05,92.42
UAE,NDVI,144,0.11,0.02,0.06,0.11,0.11,0.12,0.14
UAE,Elec. (kWh/capita),144,12947.02,1292.34,10724.54,11982.32,13271.76,13742.98,15284.7
UAE,Industry VA (% GDP),144,49.3,5.39,39.87,45.4,49.5,53.45,58.02
UAE,FDI (% GDP),144,3.21,1.99,-0.49,2.16,2.59,5.04,6.77
UAE,NTL (calibrated),144,23.8,12.03,0.0,17.92,24.21,33.23,49.4
Saudi Arabia,NDVI,216,0.1,0.02,0.07,0.08,0.09,0.11,0.17
Saudi Arabia,Elec. (kWh/capita),216,9616.59,1812.31,7235.88,7801.73,9632.76,11265.69,12074.53
Saudi Arabia,Industry VA (% GDP),216,53.5,7.45,38.3,47.19,53.71,59.66,66.43
Saudi Arabia,FDI (% GDP),216,0.81,1.0,-0.99,0.13,0.62,1.4,3.19
Saudi Arabia,NTL (calibrated),216,33.47,22.48,3.41,18.71,31.76,40.5,128.21
Oman,NDVI,48,0.09,0.02,0.07,0.08,0.1,0.1,0.14
Oman,Elec. (kWh/capita),48,5864.21,1685.49,3182.11,4243.91,6093.52,7277.52,8282.11
Oman,Industry VA (% GDP),48,56.81,5.9,47.15,52.77,55.77,60.73,68.19
Oman,FDI (% GDP),48,3.12,3.23,-2.76,1.16,2.39,4.25,11.82
Oman,NTL (calibrated),48,3.72,4.24,0.0,0.0,0.0,8.01,12.98
Bahrain,NDVI,24,0.08,0.01,0.07,0.08,0.08,0.09,0.1
Bahrain,Elec. (kWh/capita),24,20299.49,1477.65,17558.33,19184.02,20215.4,21361.06,23151.55
Bahrain,Industry VA (% GDP),18,43.77,3.44,38.2,40.83,44.07,46.23,50.41
Bahrain,FDI (% GDP),24,4.94,4.2,0.2,2.31,4.19,6.57,15.75
Bahrain,NTL (calibrated),24,25.69,9.97,12.99,15.7,24.29,34.17,40.87
